areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,,month
nation,England,E92000001,16/09/2020,0,326425,,9
nation,England,E92000001,15/09/2020,28,326425,,9
nation,England,E92000001,14/09/2020,974,326397,,9
nation,England,E92000001,13/09/2020,1328,325423,,9
nation,England,E92000001,12/09/2020,1940,324095,,9
nation,England,E92000001,11/09/2020,2525,322155,,9
nation,England,E92000001,10/09/2020,3055,319630,,9
nation,England,E92000001,09/09/2020,2835,316575,,9
nation,England,E92000001,08/09/2020,2987,313740,,9
nation,England,E92000001,07/09/2020,3435,310753,,9
nation,England,E92000001,06/09/2020,2043,307318,,9
nation,England,E92000001,05/09/2020,2182,305275,,9
nation,England,E92000001,04/09/2020,2582,303093,,9
nation,England,E92000001,03/09/2020,2655,300511,,9
nation,England,E92000001,02/09/2020,2612,297856,,9
nation,England,E92000001,01/09/2020,1915,295244,,9
nation,England,E92000001,31/08/2020,1254,293329,,8
nation,England,E92000001,30/08/2020,968,292075,,8
nation,England,E92000001,29/08/2020,1035,291107,,8
nation,England,E92000001,28/08/2020,1378,290072,,8
nation,England,E92000001,27/08/2020,1324,288694,,8
nation,England,E92000001,26/08/2020,1135,287370,,8
nation,England,E92000001,25/08/2020,1054,286235,,8
nation,England,E92000001,24/08/2020,1079,285181,,8
nation,England,E92000001,23/08/2020,693,284102,,8
nation,England,E92000001,22/08/2020,712,283409,,8
nation,England,E92000001,21/08/2020,1000,282697,,8
nation,England,E92000001,20/08/2020,1218,281697,,8
nation,England,E92000001,19/08/2020,1073,280479,,8
nation,England,E92000001,18/08/2020,924,279406,,8
nation,England,E92000001,17/08/2020,1137,278482,,8
nation,England,E92000001,16/08/2020,526,277345,,8
nation,England,E92000001,15/08/2020,647,276819,,8
nation,England,E92000001,14/08/2020,1044,276172,,8
nation,England,E92000001,13/08/2020,1018,275128,,8
nation,England,E92000001,12/08/2020,1093,274110,,8
nation,England,E92000001,11/08/2020,1213,273017,,8
nation,England,E92000001,10/08/2020,1352,271804,,8
nation,England,E92000001,09/08/2020,557,270452,,8
nation,England,E92000001,08/08/2020,637,269895,,8
nation,England,E92000001,07/08/2020,858,269258,,8
nation,England,E92000001,06/08/2020,981,268400,,8
nation,England,E92000001,05/08/2020,947,267419,,8
nation,England,E92000001,04/08/2020,920,266472,,8
nation,England,E92000001,03/08/2020,939,265552,,8
nation,England,E92000001,02/08/2020,514,264613,,8
nation,England,E92000001,01/08/2020,494,264099,,8
nation,England,E92000001,31/07/2020,622,263605,,7
nation,England,E92000001,30/07/2020,855,262983,,7
nation,England,E92000001,29/07/2020,971,262128,,7
nation,England,E92000001,28/07/2020,780,261157,,7
nation,England,E92000001,27/07/2020,809,260377,,7
nation,England,E92000001,26/07/2020,516,259568,,7
nation,England,E92000001,25/07/2020,490,259052,,7
nation,England,E92000001,24/07/2020,714,258562,,7
nation,England,E92000001,23/07/2020,735,257848,,7
nation,England,E92000001,22/07/2020,747,257113,,7
nation,England,E92000001,21/07/2020,690,256366,,7
nation,England,E92000001,20/07/2020,754,255676,,7
nation,England,E92000001,19/07/2020,413,254922,,7
nation,England,E92000001,18/07/2020,467,254509,,7
nation,England,E92000001,17/07/2020,547,254042,,7
nation,England,E92000001,16/07/2020,641,253495,,7
nation,England,E92000001,15/07/2020,722,252854,,7
nation,England,E92000001,14/07/2020,651,252132,,7
nation,England,E92000001,13/07/2020,689,251481,,7
nation,England,E92000001,12/07/2020,352,250792,,7
nation,England,E92000001,11/07/2020,420,250440,,7
nation,England,E92000001,10/07/2020,520,250020,,7
nation,England,E92000001,09/07/2020,683,249500,,7
nation,England,E92000001,08/07/2020,672,248817,,7
nation,England,E92000001,07/07/2020,557,248145,,7
nation,England,E92000001,06/07/2020,656,247588,,7
nation,England,E92000001,05/07/2020,539,246932,,7
nation,England,E92000001,04/07/2020,388,246393,,7
nation,England,E92000001,03/07/2020,543,246005,,7
nation,England,E92000001,02/07/2020,560,245462,,7
